"filename", "language", "TypeScript", "HTML", "SCSS", "comment", "blank", "total"
"c:\Git\DietTrack\src\app\app-routing.module.ts", "TypeScript", 57, 0, 0, 0, 3, 60
"c:\Git\DietTrack\src\app\app.component.html", "HTML", 0, 5, 0, 0, 0, 5
"c:\Git\DietTrack\src\app\app.component.scss", "SCSS", 0, 0, 57, 1, 10, 68
"c:\Git\DietTrack\src\app\app.component.spec.ts", "TypeScript", 22, 0, 0, 0, 3, 25
"c:\Git\DietTrack\src\app\app.component.ts", "TypeScript", 44, 0, 0, 0, 10, 54
"c:\Git\DietTrack\src\app\app.module.ts", "TypeScript", 66, 0, 0, 0, 2, 68
"c:\Git\DietTrack\src\app\components\authentication-button\authentication-button.component.html", "HTML", 0, 4, 0, 0, 1, 5
"c:\Git\DietTrack\src\app\components\authentication-button\authentication-button.component.ts", "TypeScript", 11, 0, 0, 0, 3, 14
"c:\Git\DietTrack\src\app\components\header\header.component.html", "HTML", 0, 37, 0, 1, 1, 39
"c:\Git\DietTrack\src\app\components\header\header.component.scss", "SCSS", 0, 0, 29, 0, 6, 35
"c:\Git\DietTrack\src\app\components\header\header.component.spec.ts", "TypeScript", 33, 0, 0, 0, 6, 39
"c:\Git\DietTrack\src\app\components\header\header.component.ts", "TypeScript", 13, 0, 0, 0, 6, 19
"c:\Git\DietTrack\src\app\components\login-button\login-button.component.html", "HTML", 0, 3, 0, 0, 0, 3
"c:\Git\DietTrack\src\app\components\login-button\login-button.component.ts", "TypeScript", 14, 0, 0, 0, 4, 18
"c:\Git\DietTrack\src\app\components\logout-button\logout-button.component.html", "HTML", 0, 3, 0, 0, 0, 3
"c:\Git\DietTrack\src\app\components\logout-button\logout-button.component.ts", "TypeScript", 18, 0, 0, 0, 4, 22
"c:\Git\DietTrack\src\app\components\modals\review-modal\review-modal.component.html", "HTML", 0, 35, 0, 0, 0, 35
"c:\Git\DietTrack\src\app\components\modals\review-modal\review-modal.component.scss", "SCSS", 0, 0, 19, 0, 5, 24
"c:\Git\DietTrack\src\app\components\modals\review-modal\review-modal.component.spec.ts", "TypeScript", 68, 0, 0, 0, 10, 78
"c:\Git\DietTrack\src\app\components\modals\review-modal\review-modal.component.ts", "TypeScript", 51, 0, 0, 0, 10, 61
"c:\Git\DietTrack\src\app\components\profile\profile.component.html", "HTML", 0, 87, 0, 0, 0, 87
"c:\Git\DietTrack\src\app\components\profile\profile.component.scss", "SCSS", 0, 0, 7, 0, 1, 8
"c:\Git\DietTrack\src\app\components\profile\profile.component.ts", "TypeScript", 122, 0, 0, 0, 17, 139
"c:\Git\DietTrack\src\app\components\sidebar\sidebar.component.html", "HTML", 0, 35, 0, 0, 0, 35
"c:\Git\DietTrack\src\app\components\sidebar\sidebar.component.scss", "SCSS", 0, 0, 83, 0, 16, 99
"c:\Git\DietTrack\src\app\components\sidebar\sidebar.component.spec.ts", "TypeScript", 24, 0, 0, 0, 6, 30
"c:\Git\DietTrack\src\app\components\sidebar\sidebar.component.ts", "TypeScript", 35, 0, 0, 0, 7, 42
"c:\Git\DietTrack\src\app\components\welcome\welcome.component.html", "HTML", 0, 10, 0, 0, 0, 10
"c:\Git\DietTrack\src\app\components\welcome\welcome.component.ts", "TypeScript", 15, 0, 0, 0, 3, 18
"c:\Git\DietTrack\src\app\enums\calories.enum.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"c:\Git\DietTrack\src\app\enums\goals.enum.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"c:\Git\DietTrack\src\app\enums\macronutrients.enum.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"c:\Git\DietTrack\src\app\enums\micronutrients.enum.ts", "TypeScript", 17, 0, 0, 0, 1, 18
"c:\Git\DietTrack\src\app\guard\device.guard.ts", "TypeScript", 16, 0, 0, 0, 3, 19
"c:\Git\DietTrack\src\app\infrastructure\auth-stub.component.ts", "TypeScript", 7, 0, 0, 0, 2, 9
"c:\Git\DietTrack\src\app\models\food.model.ts", "TypeScript", 6, 0, 0, 0, 2, 8
"c:\Git\DietTrack\src\app\models\meal.model.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"c:\Git\DietTrack\src\app\models\micro.model.ts", "TypeScript", 7, 0, 0, 0, 1, 8
"c:\Git\DietTrack\src\app\models\nutriment.model.ts", "TypeScript", 25, 0, 0, 0, 1, 26
"c:\Git\DietTrack\src\app\models\paged.model.ts", "TypeScript", 7, 0, 0, 0, 0, 7
"c:\Git\DietTrack\src\app\models\product.model.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\Git\DietTrack\src\app\models\tab.model.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\Git\DietTrack\src\app\modules\breakdown\breakdown-routing.module.ts", "TypeScript", 14, 0, 0, 0, 3, 17
"c:\Git\DietTrack\src\app\modules\breakdown\breakdown.module.ts", "TypeScript", 24, 0, 0, 0, 4, 28
"c:\Git\DietTrack\src\app\modules\breakdown\components\breakdown\breakdown.component.html", "HTML", 0, 133, 0, 0, 1, 134
"c:\Git\DietTrack\src\app\modules\breakdown\components\breakdown\breakdown.component.scss", "SCSS", 0, 0, 27, 0, 8, 35
"c:\Git\DietTrack\src\app\modules\breakdown\components\breakdown\breakdown.component.spec.ts", "TypeScript", 294, 0, 0, 0, 46, 340
"c:\Git\DietTrack\src\app\modules\breakdown\components\breakdown\breakdown.component.ts", "TypeScript", 264, 0, 0, 0, 64, 328
"c:\Git\DietTrack\src\app\modules\diary\components\diary\diary.component.html", "HTML", 0, 121, 0, 0, 0, 121
"c:\Git\DietTrack\src\app\modules\diary\components\diary\diary.component.scss", "SCSS", 0, 0, 41, 0, 10, 51
"c:\Git\DietTrack\src\app\modules\diary\components\diary\diary.component.spec.ts", "TypeScript", 71, 0, 0, 0, 11, 82
"c:\Git\DietTrack\src\app\modules\diary\components\diary\diary.component.ts", "TypeScript", 120, 0, 0, 0, 19, 139
"c:\Git\DietTrack\src\app\modules\diary\diary-routing.module.ts", "TypeScript", 14, 0, 0, 0, 3, 17
"c:\Git\DietTrack\src\app\modules\diary\diary.module.ts", "TypeScript", 18, 0, 0, 0, 3, 21
"c:\Git\DietTrack\src\app\modules\food\components\food\components\history\history.component.html", "HTML", 0, 14, 0, 0, 0, 14
"c:\Git\DietTrack\src\app\modules\food\components\food\components\history\history.component.scss", "SCSS", 0, 0, 18, 0, 4, 22
"c:\Git\DietTrack\src\app\modules\food\components\food\components\history\history.component.spec.ts", "TypeScript", 64, 0, 0, 0, 8, 72
"c:\Git\DietTrack\src\app\modules\food\components\food\components\history\history.component.ts", "TypeScript", 51, 0, 0, 0, 11, 62
"c:\Git\DietTrack\src\app\modules\food\components\food\components\my-meals\my-meals.component.html", "HTML", 0, 13, 0, 0, 0, 13
"c:\Git\DietTrack\src\app\modules\food\components\food\components\my-meals\my-meals.component.scss", "SCSS", 0, 0, 18, 0, 4, 22
"c:\Git\DietTrack\src\app\modules\food\components\food\components\my-meals\my-meals.component.spec.ts", "TypeScript", 60, 0, 0, 0, 9, 69
"c:\Git\DietTrack\src\app\modules\food\components\food\components\my-meals\my-meals.component.ts", "TypeScript", 46, 0, 0, 0, 9, 55
"c:\Git\DietTrack\src\app\modules\food\components\food\components\whole\components\whole-list\whole-list.component.html", "HTML", 0, 14, 0, 0, 0, 14
"c:\Git\DietTrack\src\app\modules\food\components\food\components\whole\components\whole-list\whole-list.component.scss", "SCSS", 0, 0, 18, 0, 4, 22
"c:\Git\DietTrack\src\app\modules\food\components\food\components\whole\components\whole-list\whole-list.component.spec.ts", "TypeScript", 25, 0, 0, 0, 6, 31
"c:\Git\DietTrack\src\app\modules\food\components\food\components\whole\components\whole-list\whole-list.component.ts", "TypeScript", 39, 0, 0, 0, 10, 49
"c:\Git\DietTrack\src\app\modules\food\components\food\components\whole\whole.component.html", "HTML", 0, 32, 0, 0, 1, 33
"c:\Git\DietTrack\src\app\modules\food\components\food\components\whole\whole.component.scss", "SCSS", 0, 0, 3, 0, 0, 3
"c:\Git\DietTrack\src\app\modules\food\components\food\components\whole\whole.component.spec.ts", "TypeScript", 26, 0, 0, 0, 6, 32
"c:\Git\DietTrack\src\app\modules\food\components\food\components\whole\whole.component.ts", "TypeScript", 32, 0, 0, 0, 9, 41
"c:\Git\DietTrack\src\app\modules\food\components\food\food.component.html", "HTML", 0, 61, 0, 0, 7, 68
"c:\Git\DietTrack\src\app\modules\food\components\food\food.component.scss", "SCSS", 0, 0, 34, 0, 9, 43
"c:\Git\DietTrack\src\app\modules\food\components\food\food.component.spec.ts", "TypeScript", 86, 0, 0, 0, 10, 96
"c:\Git\DietTrack\src\app\modules\food\components\food\food.component.ts", "TypeScript", 112, 0, 0, 0, 16, 128
"c:\Git\DietTrack\src\app\modules\food\food-routing.module.ts", "TypeScript", 30, 0, 0, 0, 3, 33
"c:\Git\DietTrack\src\app\modules\food\food.module.ts", "TypeScript", 30, 0, 0, 0, 3, 33
"c:\Git\DietTrack\src\app\modules\goals\components\calories\calories.component.html", "HTML", 0, 37, 0, 0, 0, 37
